text,location,latitude,longitude
"Farmington Cemetery is known for: On Grand River just past Farmington road there is a cemetery that is haunted. If you are leaving through the west gate, which is on a hill, and you put your car in neutral, your car is mysteriously ""pushed"" up the hill and out of the gate of the Cemetery. - April 2007 update – a group went to investigate this haunting and found nothing. Further, they found no facts that it has ever really happened or have been recorded to happen.",Farmington,44.6402434,-93.1435497
"Fenton Hotel is known for: Several reports of activity in the Bar area, glasses breaking and shutters being opened or closed. Phantom drink orders taken by wait staff. Included in the book Haunted Michigan. Noises(footsteps, voices) reported in the upper levels by employees closing the restaurant at night. Has a long history in the town, used to serve as a Hotel, but has been a restaurant for many years. Many unexplained light flickering occurs also",Michigan,43.6211955,-84.6824346
"Lake Huron is known for: A young girl named Minnie Quay is said to haunt the shores of this lake. When Minnie was around 15 years of age, she fell in love with a sailor. Unfortunately, Minnie's parents disapproved and would not let her see him. The sailor later died at sea. Minnie was so upset upon hearing of his death that she dressed herself in all white and jumped off the pier into the cold waters of Lake Huron. Her body is buried in the nearby cemetery. People have claimed to see her ghost walking the beach, crying for her lost love.",Lake Huron,44.6503048,-82.2818535
Forestville Beach is known for: One night a young teenager was driving his truck down to the beach. The road to the beach had a steep hill downwards towards the water. He was going to fast and couldn't stop in time so he plummeted in the water. The weight of his truck dragged him under to fast to escape so he drowned. Every summer night if you go to the beach you can hear his scream then a giant splash at around 11:30 pm,Forestville Beach,38.9319699,-76.5497936
"Garden City Hospital is known for: There was a 13 year old boy who is seen late at night in the main lobby walking back on forth from the desk to the 3rd chair. It is said that the boy is trying to decide to find another way out, or to avoid his original plan. Which was he jumped from the roof after an operation didn't go the way he had hope. After walking to the desk 3 or 4 times. It disappears and at night around 2:30 if you stand on Cambridge and look up you can see it happening.",Cambridge,52.2055314,0.1186637
Garden City Park is known for: reports of an apparition on an old man that is sitting at a picnic table that just disappears.,Garden City Park,40.7436045,-73.6642899
"The Grand Theatre is known for: Haunted by the old janitor that ran the place a long time ago. When it was up and running as a theatre, employees would report lights turning on and off and garbage being cleaned up and no one had cleaned up. There also might be someone buried the basement according to stories. This information was printed in a story in the Grand Haven tribune around 1995. The theatre is currently going to be turned into a hotel if all goes well.",Grand Haven,43.0630734,-86.2283864
"Lake Forest Cemetery is known for: There has been sightings of a ""blue man"" apparition on top of Ferry Hill, an old part of the cemetery where the founders of the city are buried. The ""blue man"" is believed to be that of William Ferry, a reverend and founder of Grand Haven.",Grand Haven,43.0630734,-86.2283864
"Sawdon High School is known for: There are three floors at Sawdon High School, The classes use to be on the second floor until a student overdosed, on acid on the second floor, so they moved classes and lockers to the third floor, It is said that if you go on the second floor of Sawdon you will hear lockers open and slam shut, and toilets flush, and someone running through the hall screaming.",Sawdon,54.2221642,-0.5496341
"Ameritech Building is known for: Formerly Michigan Bell Telephone Company -  on the corner of Fountain and Division. haunted by the Randall's , whose home stood on the ground where this building is today.",Fountain,40.125252,-87.2497418
The Black Hills is known for: A house Norwich St hosts a ghost. On the second story and in the far room at the right-hand side there is a ghost of a man that sometimes appears to be dressed in clothing from the 30's or 40's. Sometimes he appears to be an elderly man. At approximately 10:00 to 11:30 the specter wanders from the hallway and then hesitates at the doorway and then look like it is about to turn around. But then he walks into the room. The former residence to that place reported that the ghost walked to the middle of his room and stood there for minutes and then goes out into the hallway and stands. It is not known when he vanishes. He was last seen in 1996.,The Black Hills,-44.1169199,169.9643628
"Monroe Center S. Of Traverse City is known for: Monroe Center Cemetery - Odawa kids have been told a legend growing up of a Bear Walk. A Native person whom has been taught ""bad medicine,"" can change or assume the shape of any animal he or she desires. When not in animal or human form, a ball of light can be seen traveling at ground level or jumping from treetop-to-treetop.",Traverse City,44.7606481,-85.6165976
"Knock Knock Rd. is known for: June 2008 hoax - No information pertaining to a girl being dragged by a car can be found anywhere in Detroit. In Gross Isle there is a lovers' lane. The story goes that one night a man and a girl were there and the girl wouldn't do anything with the guy so the guy kicked her out of the car and slammed the door. Her hair supposedly got caught in the door and it is said that he dragged her down the road several miles. If you go down the street that she was dragged on you can her a knocking on the side of your car many times as if she was caught on the side of your car. - February 2004 Correction: The road was never called ""Knock Knock"" but the story is true and it is in the archives of the Detroit news, dated June 12th 1962, the girl was a babysitter that got caught up in and taken by the man of the house and when she refused his advances he kicked her out of his car but it was her dress not her hair and she was dragged to her death.",Detroit,42.3315509,-83.0466403
"Ford Yacht Club is known for: strange noises and sightings on the grounds after the clubhouse closes. Some think it is the ghosts of past commodores. The ford yacht club has the largest grounds of any yacht club in the United States. During the American Revolution, the British controlled Grosse Isle, and during the war of 1812,as well. .",the United States,36.1337324,-80.2782636
Hastings Middle School is known for: The school was built over a ancient Indian burial ground. Teachers and students have reported sightings of an Indian Chief. He has been reported as a dark shadowy figure floating down halls and moving things around inn classrooms. Many of the teachers call him Chief Turkey Feather because of turkey feathers left behind after visiting classrooms.,Turkey,39.294076,35.2316631
"Old white house is known for: Back in the 1960's there was an old woman who owned half of Harrison and her grandson beat her and she died not to long afterward. The old house is known to have the toilet flush in the middle of the night, the doors slamming, an old woman's voice talking, screams, and things slamming up Harrison Township.",Harrison Township,40.6297553,-79.71635
"Castle Park is known for: According to legend, this castle was built in 1890 by Michael Schwarz in order to properly seclude his family from, ""America's uncivilising influences."" Despite his attempts to keep his daughters secluded, one of them fell in love with a local Dutch boy, with whom she ran away to elope with. Schwarz interfered with the attempted elopement and locked his daughter away in the castle's tower. Reports claim that on moonlit nights, her ghost can be seen in the tower window looking towards Holland for her lost love.",America,39.7837304,-100.445882
"Walgreen’s is known for: Formerly The Brass Lantern Restaurant - The Brass Inn is a very expensive restaurant. It has a bar as well, in the smoking section. The bar is haunted. Witness have seen a guy sitting in stool #2 from the left (NOT from the bar tenders point of view). Then he disappears. Sometimes there is a VERY EERIE feeling when you walk over to the bar. - March 2008 Update: Nothing has been reported since it was replaced by Walgreen’s.",Walgreen,29.5912848,-95.4698381
Union Chapel Cemetery is known for: Union Chapel is on Michigan Ave. just passed Inkster Rd. It sits up on a hill and is easy to miss if you don't know where it is. There is a grave marker of a little girl aged 9 years old by the name of Mary Jane Walker who died Jan. 6 1866. If you ask her she may allow her picture to be taken. I tried this and got one picture that shows a vortex.,Michigan,43.6211955,-84.6824346
Mill st railroad tracks is known for: It is often said that you can hear screams from a traffic accident that happened and landed in the front yard of a mill St. home.,St.,0.9713095,7.02255
"Highland Park Cemetery is known for: Years ago, there was an accident at Oak Hill Cemetery, the other cemetery in Ionia, in which five kids went in at night, though it's not sure what they went in for. One of them had urged the others to leave several times, but they did not listen. By 3 A.M that night, four of them were dead, and the last kid survived in the scatter, but refused to explain what had happened, or how he'd survived, to police or anyone.  On the first Saturday of every month between 2 and 3 A.M, if survived walks to the gate, and waits to safely guide you through. It seems as though he can protect you now in death, though he couldn't protect them in life.",Ionia,42.9469688,-85.0713945
"Michigan Center High School- January 2007 is known for: So far there is no proof that there was a death here - IT is said that a girl was hung in the auditorium of the Michigan center high school some people have said that when the are practicing playing the instruments or singing the lights will go on and off and you will hear strange moans.-  WARNING – You MUST sign in to be on premises, if you are caught you could be arrested.",Michigan,43.6211955,-84.6824346
"Gilmoure now Alpha Tau Omega fraternity house is known for: the house is over a hundred years old and used to be the Gilmoure's mansion back in the 30's,they were a wealthy family in the Kalamazoo area, it is said that the butler fell down the servants stair case all the way to the basement and died there, their is a built in grand father clock on the second floor that always stops on the same time whenever the clock is started, supposedly the same time the butler died, Brothers that live there report the presence of ""something"" at night, lights have turned them selves on or off and things have been moved with no one being present",Brothers,43.8137417,-120.6033306
"Cannonsburg Road is known for: Oakwood Cemetary - Oakwood stands on the corner of Cannonsburg and Brewer roads. Just west of Oakwood, until recently, stood the old Brewer family estate. Just west of that is a long lay of Grand River Valley land that once was the lumbertown of Austerlitz. There is much forgotton and paved-over history there. In the 1980's motorists returning home from Grand Rapids at night told of a woman who stood on the corner of Brewer and Cannonsburg roads she wore no coat, though the weather at the times during which she appeared was always disagreable. She was seen in cold rains and wet snows. This rural area just at the edge of town was not completely desolate so there are no stories of motorists stopping to offer the apparition a ride. As the stories go, she never thumbed or indicated in any way that that she was in distress, she just stood there enduring the elements. Could she have been a live person? Doubtfull, Homes were far enough away from Oakwood that there would have been no reason for a young woman to stand out on that corner late at night in nasty weath with no coat.",Oakwood,51.6473302,-0.1312548
"Rockford is known for: Wolverine World Wide-hh puppy shoes) factory F-sole plant/3rd shift-ghost shift - Known only as shadow man, he stands over employees that are trying to ignore him, he will follow some into the bathroom, he even goes into his own stall, he will follow you to break and pull out a chair to rest then when break is over he will push his chair back to the table, he may even shut off the lights for no reason. Perhaps only a disembodied spirit who can't leave until the jobs done! I wrote a short story and interviewed supervisor and others.",Rockford,42.2713945,-89.093966
"Pine Mountain Road is known for: U.P. Investigators has, after doing several investigations of the area,as well as checking city and county records, determined that this one is a hoax. Also, it should be noted that the area in question is located in Iron Mountain, Mi., which is right next to Kingsford. Another thing one should make note of is that these are two relatively small communities, and it is curious that",Kingsford,45.794956,-88.072071
"formerly listed in Temperance is known for: Verna Drive - Update: The following reported haunting is a hoax.- The Monroe County Paranormal Society have just investigated this claim and their contacts in the sheriff's department tell them that there has never been such a murder in the entire county, let alone in the quiet of Bedford Township. Also Lambert Estates also has never existed. One also has to wonder how such a horrific tragedy as the game show story never even made it to the local news. - Off Monroe Road in Lambertville, Michigan, there is a subdivision called Lambert Estates. Lambert Estates is mostly made up of a road called Verna Drive. The subdivision was formed in 1957. In the early summer of 1978, Steven Madison, a 33-year-old worker for a glass plant in Toledo, Ohio, walked into a home on Verna Drive and killed an elderly couple with a hammer found in the garage. He then moved into several other houses that night, and killed 7 others. 3 male adults, 1 female adult, 2 male children, and 2 female children. He used a block of firewood to kill a family of 3, a wood saw to kill a young college graduate, and smothered or strangled the other 3. He then went into the woods next to the neighborhood and hung himself from a maple tree. Reports of screams often come from two houses in the neighborhood. In the early July's, residents report a figure of a man walking down the street carrying a piece of firewood wearing a green shirt and jeans that appear to be blood stained. A neighbor once approached the man after seeing him 3 consecutive nights. When the man was asked who he was, he turned and faced the resident with a frightening wide grin and wide eyes. He walked off after not responding and disappeared in the front yard of an residents house. He was also reported seen in the woods, hanging from a tree, when the owner of the woods walked in one evening while walking his dog. He noticed nothing out of the ordinary at first, until when standing under a tree; drops of water fell on him. He looked up and saw him hanging by his neck as if he just died. The water was apparently tears that the man shed. An investigation was conducted to investigate the level of paranormal activity. The investigation was part of a game show where a group of people spent a week in the now abandoned neighborhood, to determine whether it was haunted. By the end of the week, a member of the investigating team disappeared and had not been found until two months later. He was found nearly dead in the glass plant in Toledo wear Steven Madison was employed. To this day the neighborhood remains empty, yet still stands. - June 2008 Update - The first posting for Lambert estates indicates it is abandoned. The update then states that the neighborhood never existed. Actually, not only has it existed, it remains very much occupied to this day. Every house is very well maintained. However, it is not in Temperance, it is in Lambertville, the next town over.",Temperance,41.76476,-83.5722279
5 mile and Farmington road is known for: At Farmington Grave yard you can see 3 little girls and there dad walking across the street and back at 12 midnight every night.,Farmington,44.6402434,-93.1435497
"Rotary Park Woods is known for: At night if you walk around the nature trails, you are able to hear weird noises and screams. Sometimes in the distance you can notice little girls dressed in white dresses moving around. It has been said that these little girls were killed in the woods and their spirits roam around showing the directions to get out of the woods if your lost. The best time for seeing the girls or hearing the noises is from Fall to Spring time.",Fall,47.5693317,11.5325232
"Bailey House is known for: Old abandon house on Bailey. Its windows are all boarded up and all the sheds, and pull barns are falling down behind the house. Teenagers go into the house to get a thrill and to just look at all the stuff that was left behind. No one really knows why the owners just up and left. It is said that there's a bell in the kitchen that is hanging from a light, and if you stand in the dark the bell will start ringing even though there is nothing inside to make it ring. You can also hear footsteps upstairs; Howls, and when you are walking away from the house you can hear a little girl laughing. - May 2008 Update: Burned down.",Bailey,34.0349194,-102.8149372
Grand Hotel is known for: Uncountable skeletons were also unearthed when the foundation was laid for the Grand Hotel which now is supposed to hold many spine tingling feelings. The little horse coral behind the fort is supposedly right where the first post cemetery was. Not all of the bodies were removed when the US moved the cemetery to its present location.,US,39.7837304,-100.445882
Lamphere High School is known for: During the early 60's there was a killer loose in Madison Heights. He used to bury his bodies in the landfill which is now a hill used for sledding right next to Lamphere High School. Every once and a while you can hear insane laughter around the school.,Madison Heights,42.4858692,-83.1052028
"Formerly listed as Drummond Island is known for: - Drummond Island - Drummond Island is said to be haunted by two ghosts of headless British soldiers. During the War of 1812 there where two British soldiers who went AWOL, and a price was placed on their heads. Two Indians near the fort ran off on snowshoes to pursue the deserters. The deserters had built a fire to warm themselves on Manitoulin Island (in Canada now) and began to doze while sitting by their large blaze. The Indians snuck up behind them and with a few swift chops of their hatchets the soldiers were decapitated. The Indians brought their heads back to the fort and collected their bounty. Now people say sometimes you can see a fire burning on the shore and two headless figures pacing around it. Some people claim to have driven up quite close in their boat and had the whole scene disappear before them.",Drummond Island,46.0091155,-83.6542429
"Lighthouse is known for: The Lighthouse right in town, By Anita's You can see a Figure with a very dim lantern walking up around the outer deck, it is said that when the town was called Newport, the caretaker of the lighthouse died while watching for the ships, his wife found him 3 weeks later.",Lighthouse,50.6985016,-57.4103974
Northern Michigan University is known for: Halverson Hall room 304 - It has been rumored that a ghost has been sited in room 304 of Halverson hall at Northern Michigan University. It was believed that the person hung themselves from their loft.,Halverson,41.1849488,-111.9460646
Seven Gables is known for: At the end of seven Galbles rd.(found off Dexter trail+ Meridian) there is a gate that leads to a old home said to have been burned down with the family of 6 hung by the gables of the house. The Killer than killed himself and set fire to the house. A young girl is said to be playing in the trees. It is also said that someone was unexplainably choked by a force unseen. Many have drowned there do to the Hidden lake that is on the way to the ruins of the home,Hidden,63.2018266,-154.944348
"Old River Road is known for: Old river road is a dangerous curvy road that is along the banks of the Hommochitto River. The road is a short cut to Franklin County High School, that many students take to go to school. The legend has it that in the 1950's a couple was returning home from a football game on a motorcycle and they did not see a sharp curve in the road and wrecked. Both died and the girl got decapitated. Every night at exactly 12:00 the boyfriend rides downs the road searching for his girlfriends head that he will never find...",Franklin County High School,38.2120066,-84.8264923
"Memphis Cemetery is known for: If you take M-19 (Van Dyke Rd.) and follow it through Richmond to Memphis, the cemetery is on the right side. It is a small cemetery, but there is a narrow dirt road that runs through. At the very back center of the cemetery there is a huge black marble stone called the ""witch's ball"". If you get close enough you can see faces and shadows in the stone, just like a crystal ball. Voices have been heard and apparitions have been seen there too.",Richmond,37.5385087,-77.43428
Michigan Center Jr. High School is known for: When you go in to the auditorium alone the lights will shut off and dark spots will appear and strange sounds will be heard.,Michigan,43.6211955,-84.6824346
"Bennegan's parking lot is known for: 5 years ago a married man with 2 children came out of the closet. his wife wanted a divorce because of this, and he was devastated at potentially losing his kids. He was a very religious man, as many midlanders are, and also mentally instable. He thought that the only way that they could be together forever would be if they were all dead, so one night when he was leaving Bennegains with what may have been his last dinner with custody of his children, he stopped the car in the middle of the parking lot and broke down crying. He then locked the doors and shot his two children, then himself. Now at night in the parking lot, you can see a man and a little boy and girl walking out the door then vanish. If you honk your horn 3 times at around 7:15 then close your eyes and open them again, a car will appear facing you head on with a man crying blood in the front seat, then vanish in a big green flash. Many orbs have been spotted too.",Bennegan,34.0254041,-84.1334545
Milan Oakvill Rd. is known for: Legends have it that on Milan Oakvill Rd. In 1910 a young women about 23 got in a car accident and died when her and her newly wed husband were driving and went off the road and killed her and her husband well legends say it you go out there and shut your car off where they crashed you will hear the screeching of the tires and when you least expect it and driving down the road you can see her walking aside the road in her wedding,Milan,45.4641943,9.1896346
"Millington Hills is known for: In the Millington hills, you leave by running because something is after you. Even during the day, a lot of the hills and lands of Millington hills has bad vibes.",Millington,35.3414745,-89.8973084
"Putnam District Library is known for: Mr. Putnam had TB so he took himself out in the carriage house and shot himself in the chest and in the head and survived. The next day around 4:00 o'clock he was dead. The next suicide case was a maid of the Putnam's that had an affair with the nephew of the Putnam's but he totally denied doing that with her and later when she found out she was pregnant at 16 she took the nephew's gun and shot herself. When Mrs. Putnam had her only children they were twins but the day after they were born they died. Today they say the Maid, Mrs. Putnam, and Mr. Putnam still live hear and guard the place. They also used to hold funerals here.",Putnam,41.2025915,-89.2676414
"Dorsey House is known for: Restaurant & Bar - The Dorsey House is located near Port Huron. It is haunted by a ghost known only as Ira. It is rumored that Ira may have been killed in a bar fight in the parking area of the original Dorsey House. That building was torn down for the constuction of a new building in the mid 1995. Water faucets turn on an off, toilets flush, doors open and close, light s go on and off. A few people have reported seeing a ghost like image in parts of the building.",Port Huron,42.9760854,-82.4333742
"Northville Tunnels is known for: In the old city of Northville in the 40's and 50's, were many insane asylums. They were not even a mile apart and ran through the whole town. They were all linked underneath the ground, for underground passages of very mentally ill patients and there's rumors that that's where many of the out of control patients were punished, not to alarm the others. The tunnels go all through the town, and under buildings, which are now on the place of the asylums. The tunnels are blocked off but the people who are brave enough to go in have experienced screaming, voices, moaning and orbs. Feelings of people behind you, crashes against the walls, and more. The tunnels are miles long and are tight compacted areas. There is a 200 dollar fine for anyone to go there, seeing as the late 80's and 90's brought many Satanists there trying to summon up spirits. -  Update: The buildings of the insane asylum have now been torn down and they are building a sub-division on the land. They had tried many times to get a company to come and build there and always something went wrong. They finally got some company to build expensive homes there and now there is a worry for the people who purchase their homes there. It is the whole block on the north-east corner of Sheldon and 5 mile roads.",Northville,42.4310816,-83.4832339
